name,positions,avg_pick,avg_round,pct_drafted
Connor McDavid,C,1.1,1.1,100
Sidney Crosby,C,2.3,1.1,100
Patrick Kane,R,3.4,1.1,100
Auston Matthews,C,4.4,1.1,100
Carey Price,G,5.5,1.1,100
Brent Burns,D,6.5,1.1,100
Alex Ovechkin,L,8.0,1.2,100
Vladimir Tarasenko,R,8.4,1.2,100
Evgeni Malkin,C,10.0,1.3,100
Nikita Kucherov,R,11.0,1.3,100
Braden Holtby,G,12.5,1.8,100
Jack Eichel,C,13.2,1.7,100
Jamie Benn,L,13.6,1.9,100
Brad Marchand,L,14.0,2.0,100
Patrik Laine,R,15.1,2.2,100
Leon Draisaitl,CR,17.3,2.2,100
Nicklas Backstrom,C,18.8,2.3,100
Matt Murray,G,19.5,2.3,100
Victor Hedman,D,20.9,2.4,100
Tyler Seguin,CR,21.3,2.5,100
Mark Scheifele,C,21.7,2.5,100
Sergei Bobrovsky,G,22.6,2.8,100
John Tavares,C,22.9,2.6,100
Dustin Byfuglien,D,25.0,3.0,100
Jake Allen,G,28.1,3.4,100
Cam Talbot,G,29.2,3.3,100
Phil Kessel,R,29.4,3.4,100
Erik Karlsson,D,29.6,3.5,100
Roman Josi,D,29.7,3.4,100
Steven Stamkos,C,30.7,3.4,100
Artemi Panarin,CL,31.3,3.5,100
Mitchell Marner,CR,34.4,3.7,100
Joe Pavelski,CR,34.4,3.9,100
Pekka Rinne,G,34.5,3.9,100
Kris Letang,D,35.2,3.8,100
Johnny Gaudreau,L,36.2,3.9,100
Duncan Keith,D,39.8,4.3,100
P.K. Subban,D,40.1,4.4,100
Max Pacioretty,L,40.2,4.4,100
David Pastrnak,R,41.4,4.4,100
Blake Wheeler,R,42.4,4.6,100
Shea Weber,D,43.5,4.6,100
Wayne Simmonds,R,45.2,4.8,100
Tuukka Rask,G,45.4,4.9,100
Devan Dubnyk,G,45.5,5.0,100
Ryan Getzlaf,C,45.7,4.8,100
John Gibson,G,46.1,4.9,100
Martin Jones,G,49.0,5.3,100
Drew Doughty,D,50.7,5.5,100
William Nylander,CR,51.2,5.5,100
Patrice Bergeron,C,52.1,5.5,100
Corey Crawford,G,53.0,5.5,100
Evgeny Kuznetsov,C,54.2,5.7,100
Zach Werenski,D,55.5,5.8,100
Jonathan Quick,G,57.4,5.9,100
Kevin Shattenkirk,D,57.8,6.0,100
Filip Forsberg,L,58.9,6.3,100
Ben Bishop,G,59.7,6.2,100
Henrik Lundqvist,G,61.1,6.4,100
Corey Perry,R,62.5,6.5,100
Dougie Hamilton,D,62.6,6.6,100
Mike Hoffman,LR,64.4,6.7,100
Sean Monahan,C,66.7,6.8,100
Claude Giroux,C,67.8,7.0,100
Alex Pietrangelo,D,68.1,7.0,100
Andrei Vasilevskiy,G,68.6,7.0,100
Mikael Granlund,CR,70.7,7.1,100
Oliver Ekman-Larsson,D,71.6,7.3,100
Jeff Carter,C,72.7,7.5,100
Brandon Saad,L,74.2,7.7,100
Aleksander Barkov,C,74.4,7.5,100
Cam Atkinson,R,74.5,7.6,100
Rasmus Ristolainen,D,75.8,7.8,100
Justin Schultz,D,77.6,7.9,100
Brian Elliott,G,78.3,7.9,100
Nikolaj Ehlers,L,79.9,8.2,100
Jonathan Toews,C,80.2,8.1,100
Frederik Andersen,G,80.6,8.2,100
Mark Giordano,D,81.2,8.2,100
Jonathan Huberdeau,L,81.6,8.3,100
James van Riemsdyk,L,82.2,8.3,100
Ryan Suter,D,86.2,8.8,100
Torey Krug,D,86.7,8.9,100
Jeff Skinner,L,88.8,8.9,100
T.J. Oshie,R,89.1,9.1,100
Ryan McDonagh,D,89.6,9.1,100
Alexander Radulov,R,91.8,9.3,100
Sebastian Aho,LR,92.1,9.2,100
Logan Couture,C,92.7,9.2,100
Brayden Schenn,CL,93.6,9.4,100
Jonathan Drouin,LR,93.7,9.4,100
Jake Guentzel,CL,95.2,9.7,100
Taylor Hall,L,95.8,9.7,100
Jakub Voracek,R,96.1,9.6,100
Mike Smith,G,96.3,9.6,100
Ryan Johansen,C,97.1,9.6,100
Justin Faulk,D,99.1,10.1,100
John Klingberg,D,100.6,10.2,100
Cory Schneider,G,100.7,10.0,100
Jake Gardiner,D,101.9,10.2,100
Conor Sheary,LR,102.1,10.4,100
Anze Kopitar,C,104.7,10.3,100
Evan Rodrigues,CL,105.0,9.3,2
David Perron,LR,105.3,13.3,2
Viktor Arvidsson,LR,106.2,10.5,100
Jaden Schwartz,L,107.6,10.7,100
Seth Jones,D,108.3,10.9,100
Mark Stone,R,108.7,10.8,100
Matthew Tkachuk,L,109.5,11.3,100
Jordan Eberle,R,110.2,10.9,100
Rickard Rakell,CL,110.6,11.0,100
James Neal,LR,111.1,11.0,100
Oscar Klefbom,D,111.3,11.2,100
Andrew Shaw,CR,113.5,9.8,2
Aaron Ekblad,D,114.5,11.6,100
Jaroslav Halak,G,115.2,11.5,100
Scott Darling,G,115.2,11.5,100
Colton Parayko,D,115.6,11.5,100
John Carlson,D,116.3,11.7,100
Jason Spezza,CR,116.9,11.6,100
Craig Anderson,G,117.4,11.7,100
Evander Kane,L,118.4,11.6,100
Shayne Gostisbehere,D,119.6,12.1,100
David Savard,D,120.5,10.5,2
Zemgus Girgensons,CL,123.3,10.5,2
Patric Hornqvist,R,123.5,12.2,100
Keith Yandle,D,124.6,12.5,100
Jussi Jokinen,L,124.7,11.0,2
Jacob Trouba,D,124.8,12.6,100
Ryan Kesler,C,125.3,12.3,100
Ryan Ellis,D,125.9,12.6,100
Scott Hartnell,L,127.3,11.3,2
Cam Fowler,D,127.6,12.7,100
Trevor Daley,D,127.8,11.2,3
Brent Seabrook,D,128.4,12.7,100
Zach Parise,L,128.5,12.8,100
Andre Burakovsky,LR,128.6,12.6,100
Jake McCabe,D,130.3,11.3,2
Tyson Barrie,D,133.4,13.2,100
Peter Budaj,G,133.5,11.6,6
Brock Boeser,R,134.4,11.7,12
Robin Lehner,G,134.7,13.3,100
Eric Staal,C,135.2,13.4,100
Jared Spurgeon,D,135.2,13.4,100
Matt Niskanen,D,136.5,13.6,100
Calvin Pickard,G,137.7,14.0,2
Marc-Andre Fleury,G,138.8,13.6,100
Michael Del Zotto,D,138.8,12.0,3
Jason Pominville,R,139.0,14.5,2
Kyle Palmieri,R,139.2,13.6,100
Marc-Edouard Vlasic,D,139.7,13.9,100
Chris Kreider,L,141.0,14.1,100
Justin Falk,D,141.7,12.1,6
Tyler Toffoli,CR,142.2,13.9,100
