"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.EKBLAD","20142015","Regular","D","FLA",81,41.59,0,0,0,0,0,0,0,0,0,0,0,0,4,5.77,0,4,5.77,0,3,4.33,0,0.52,0.75,13.07,2,2.89,2,1,0,1,3,0,0,NA,0,2,2,0,0,19.72
"2","AARON.EKBLAD","20152016","Regular","D","FLA",78,68.56,0,0,0,0,0,0,0,0,0,0,0,0,3,2.63,0,1,0.88,0,1,0.88,0,0.01,0.01,1.34,0,0,1,1,1,3,4,0,0,NA,0,0,0,0,0,52.39
"3","AARON.NESS","20132014","Regular","D","NYI",20,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,1,1,0,0,1,0,0,NA,1,0,-1,0,0,NA
"4","AARON.NESS","20152016","Regular","D","WSH",8,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"5","AARON.PALUSHAJ","20132014","Regular","R","CAR",2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"6","AARON.ROME","20132014","Regular","D","DAL",25,24.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,1,0,0,0,4,0,0,NA,0,0,0,0,0,NA
"7","AARON.VOLPATTI","20132014","Regular","L","WSH",41,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"8","ADAM.ALMQUIST","20132014","Regular","D","DET",2,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"9","ADAM.BURISH","20132014","Regular","R","S.J",15,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,6,2,75,0,1,1,0,0,NA
"10","ADAM.BURISH","20142015","Regular","R","S.J",20,30.13,0,0,0,0,0,0,0,0,0,0,0,0,4,7.97,0,4,7.97,0,2,3.98,0,0.32,0.64,8.07,1,1.99,0,0,0,0,7,12,5,NA,1,0,-1,0,1,18.03
"11","ADAM.CLENDENING","20142015","Regular","D","CHI/VAN",21,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"12","ADAM.CLENDENING","20152016","Regular","D","EDM/PIT",29,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"13","ADAM.CRACKNELL","20132014","Regular","R","STL",19,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"14","ADAM.CRACKNELL","20142015","Regular","R","CBJ",17,9.94,0,0,0,0,0,0,0,0,0,0,0,0,1,6.04,0,1,6.04,0,0,0,NA,0.07,0.42,7.03,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,29.73
"15","ADAM.CRACKNELL","20152016","Regular","R","EDM/VAN",52,38.24,0,0,0,0,0,0,0,0,0,0,0,0,1,1.57,0,1,1.57,0,1,1.57,0,0.03,0.04,2.76,0,0,1,0,1,0,0,7,18,28,1,2,1,0,0,24.52
