name,season,GP,TOI,G,A,P,SH,SH%,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Aaron Ekblad,20142015,81,1760.28,12,27,39,170,7.06,0,0,229.75,6.0,7.0,13.0,38.0,D,8.4,79.4,100%
Aaron Ekblad,20152016,78,1684.96,15,21,36,182,8.24,0,0,225.86999999999998,2.0,5.0,7.0,35.0,D,8.4,79.4,100%
Aaron Ness,20132014,20,296.09,1,2,3,23,4.35,0,0,6.93,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Aaron Ness,20152016,8,99.12,0,2,2,8,0.0,0,0,0.33,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Aaron Rome,20132014,25,325.34,0,1,1,15,0.0,0,0,4.93,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Aaron Volpatti,20132014,41,302.0,2,0,2,18,11.11,4,8,2.63,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Adam Burish,20132014,15,144.03,0,0,0,9,0.0,39,36,3.16,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Adam Burish,20142015,20,222.58,1,2,3,22,4.55,57,50,4.4,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Adam Clendening,20142015,21,348.59,1,3,4,17,5.88,0,0,47.190000000000005,1.0,2.0,3.0,2.0,D,23.4,182.0,0
Adam Clendening,20152016,29,428.8,1,6,7,43,2.33,0,0,25.44,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Adam Cracknell,20132014,19,154.81,0,2,2,16,0.0,10,17,2.1,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Adam Cracknell,20142015,17,168.96,0,1,1,17,0.0,20,38,2.02,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Adam Cracknell,20152016,52,635.03,5,5,10,68,7.35,156,239,17.62,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Adam Hall,20132014,80,783.66,4,5,9,61,6.56,314,213,12.55,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Adam Henrique,20132014,77,1389.56,25,18,43,137,18.25,407,511,178.57000000000002,7.0,5.0,12.0,24.0,C,15.1,150.0,97%
Adam Henrique,20142015,75,1330.26,16,27,43,127,12.6,270,249,137.22000000000003,5.0,10.0,15.0,13.0,C,15.1,150.0,97%
Adam Henrique,20152016,80,1583.2,30,20,50,149,20.13,617,764,211.81,5.0,4.0,9.0,22.0,C,15.1,150.0,97%
Adam Larsson,20132014,26,461.76,1,2,3,20,5.0,0,0,19.65,0.0,0.0,0.0,0.0,D,15.1,167.0,9%
Adam Larsson,20142015,64,1335.7,3,21,24,91,3.3,0,0,33.2,0.0,0.0,0.0,4.0,D,15.1,167.0,9%
Adam Larsson,20152016,82,1841.92,3,15,18,65,4.62,0,0,30.79,0.0,0.0,0.0,0.0,D,15.1,167.0,9%
Adam Lowry,20142015,80,1099.69,11,12,23,104,10.58,402,449,57.83,0.0,3.0,3.0,2.0,L,23.4,182.0,0
Adam Lowry,20152016,74,1037.61,7,10,17,73,9.59,391,454,27.28,0.0,0.0,0.0,2.0,L,23.4,182.0,0
Adam Mcquaid,20132014,30,481.4,1,5,6,25,4.0,0,0,3.46,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Adam Mcquaid,20142015,63,1158.26,1,6,7,60,1.67,0,1,14.99,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Adam Mcquaid,20152016,64,1145.28,1,8,9,42,2.38,0,0,9.47,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Adam Pardy,20132014,60,864.53,0,6,6,47,0.0,0,0,5.52,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Adam Pardy,20142015,55,822.15,0,9,9,29,0.0,0,0,7.11,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Adam Pardy,20152016,23,364.41,0,4,4,22,0.0,0,0,1.57,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Adam Pelech,20152016,9,154.75,0,2,2,8,0.0,0,0,5.52,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Alec Martinez,20132014,61,956.2,11,11,22,79,13.92,0,0,125.7,3.0,5.0,8.0,25.0,D,12.9,123.5,100%
Alec Martinez,20142015,56,1115.12,6,16,22,103,5.83,0,0,117.41,1.0,3.0,4.0,18.0,D,12.9,123.5,100%
Alec Martinez,20152016,78,1642.53,10,21,31,124,8.06,0,0,161.53,4.0,9.0,13.0,38.0,D,12.9,123.5,100%
