name,GP,TOI,G,A,P,SH,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Aaron Ekblad,79.0,1710.0666666666666,14.0,23.0,37.0,178.0,0.0,0.0,227.16333333333333,3.3333333333333335,5.666666666666667,9.0,36.0,D,8.4,79.4,100%
Aaron Ness,10.4,138.51399999999998,0.2,2.0,2.2,11.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Aaron Rome,25.0,325.34,0.0,1.0,1.0,15.0,0.0,0.0,4.93,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Aaron Volpatti,41.0,302.0,2.0,0.0,2.0,18.0,4.0,8.0,2.63,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Adam Burish,18.333333333333332,196.39666666666668,0.6666666666666666,1.3333333333333333,2.0,17.666666666666668,51.0,45.333333333333336,3.986666666666667,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Adam Clendening,26.333333333333332,402.06333333333333,1.0,5.0,6.0,34.333333333333336,0.0,0.0,32.690000000000005,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,D,23.4,182.0,0
Adam Cracknell,37.285714285714285,433.2642857142857,2.857142857142857,3.4285714285714284,6.285714285714286,46.0,96.28571428571429,149.85714285714286,10.945714285714287,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Adam Hall,80.0,783.66,4.0,5.0,9.0,61.0,314.0,213.0,12.55,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Adam Henrique,78.14285714285714,1483.2685714285715,25.285714285714285,21.714285714285715,47.0,141.0,487.85714285714283,580.7142857142857,185.75,5.285714285714286,5.857142857142857,11.142857142857142,19.714285714285715,C,15.1,150.0,97%
Adam Larsson,68.85714285714286,1500.1200000000001,2.7142857142857144,14.857142857142858,17.571428571428573,66.0,0.0,0.0,29.88714285714286,0.0,0.0,0.0,1.1428571428571428,D,15.1,167.0,9%
Adam Lowry,76.0,1058.3033333333333,8.333333333333334,10.666666666666666,19.0,83.33333333333333,394.6666666666667,452.3333333333333,37.46333333333333,0.0,1.0,1.0,2.0,L,23.4,182.0,0
Adam Mcquaid,58.857142857142854,1054.1485714285714,1.0,7.0,8.0,44.714285714285715,0.0,0.2857142857142857,10.188571428571427,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Adam Pardy,37.42857142857143,566.6385714285715,0.0,5.714285714285714,5.714285714285714,27.571428571428573,0.0,0.0,3.7171428571428575,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Adam Pelech,9.0,154.75,0.0,2.0,2.0,8.0,0.0,0.0,5.52,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Alec Martinez,69.28571428571429,1393.7942857142857,9.0,18.142857142857142,27.142857142857142,111.57142857142857,0.0,0.0,143.8057142857143,3.0,6.714285714285714,9.714285714285714,30.428571428571427,D,12.9,123.5,100%
