name,avg_round,pct_drafted,positions,avg_pick
Patrick Kane,1.2,100%,RW,1.4
Alex Ovechkin,1.2,100%,LW,2.2
Sidney Crosby,1.2,100%,C,3.3
Jamie Benn,1.2,100%,LW,4.6
Connor McDavid,1.2,100%,C,5.0
Vladimir Tarasenko,1.2,100%,RW,6.6
Steven Stamkos,1.2,100%,C,7.7
Braden Holtby,1.3,100%,G,9.6
Johnny Gaudreau,1.3,100%,LW,9.8
Joe Pavelski,1.3,100%,"C,RW",9.9
Tyler Seguin,1.7,100%,C,11.7
John Tavares,1.6,100%,C,12.0
Brent Burns,2.1,100%,D,13.5
Ben Bishop,2.2,100%,G,14.9
Erik Karlsson,2.2,100%,D,16.4
Carey Price,2.2,100%,G,16.5
Claude Giroux,2.4,100%,C,17.5
Jonathan Quick,2.3,100%,G,18.7
Corey Perry,2.3,100%,RW,18.8
Evgeny Kuznetsov,2.4,100%,C,20.0
Evgeni Malkin,2.6,100%,C,22.1
P.K. Subban,2.6,100%,D,22.5
Martin Jones,2.9,100%,G,23.7
Artemi Panarin,3.3,100%,LW,27.1
Logan Couture,3.4,100%,C,27.2
Cory Schneider,3.4,100%,G,27.5
Corey Crawford,3.4,100%,G,28.6
Anze Kopitar,3.5,100%,C,29.1
John Gibson,3.5,100%,G,30.3
Nikita Kucherov,3.6,100%,RW,31.0
Nicklas Backstrom,3.7,100%,C,32.9
Henrik Lundqvist,4.0,100%,G,33.7
Pekka Rinne,4.0,100%,G,34.6
Phil Kessel,3.9,100%,RW,35.0
Patrice Bergeron,4.3,100%,C,37.1
Dustin Byfuglien,4.3,100%,D,37.2
James Neal,4.2,100%,RW,37.9
Kris Letang,4.3,100%,D,37.9
Blake Wheeler,4.4,100%,RW,38.6
Jack Eichel,4.6,100%,C,41.6
Jake Allen,4.6,100%,G,41.7
Drew Doughty,4.8,100%,D,43.6
Joe Thornton,4.8,100%,C,44.9
Oliver Ekman-Larsson,5.0,100%,D,45.1
Max Pacioretty,5.1,100%,LW,45.2
Wayne Simmonds,5.0,100%,RW,45.4
Taylor Hall,5.3,100%,LW,47.0
Filip Forsberg,5.5,100%,LW,48.3
Nathan MacKinnon,5.8,100%,"C,RW",52.7
Shayne Gostisbehere,5.8,100%,D,53.7
positions,avg_round,avg_pick,name,pct_drafted
RW,1.2,1.4,Patrick Kane,100%
LW,1.2,2.2,Alex Ovechkin,100%
C,1.2,3.3,Sidney Crosby,100%
LW,1.2,4.6,Jamie Benn,100%
C,1.2,5.0,Connor McDavid,100%
RW,1.2,6.6,Vladimir Tarasenko,100%
C,1.2,7.7,Steven Stamkos,100%
G,1.3,9.6,Braden Holtby,100%
LW,1.3,9.8,Johnny Gaudreau,100%
"C,RW",1.3,9.9,Joe Pavelski,100%
C,1.7,11.7,Tyler Seguin,100%
C,1.6,12.0,John Tavares,100%
D,2.1,13.5,Brent Burns,100%
G,2.2,14.9,Ben Bishop,100%
D,2.2,16.4,Erik Karlsson,100%
G,2.2,16.5,Carey Price,100%
C,2.4,17.5,Claude Giroux,100%
G,2.3,18.7,Jonathan Quick,100%
RW,2.3,18.8,Corey Perry,100%
C,2.4,20.0,Evgeny Kuznetsov,100%
C,2.6,22.1,Evgeni Malkin,100%
D,2.6,22.5,P.K. Subban,100%
G,2.9,23.7,Martin Jones,100%
LW,3.3,27.1,Artemi Panarin,100%
C,3.4,27.2,Logan Couture,100%
G,3.4,27.5,Cory Schneider,100%
G,3.4,28.6,Corey Crawford,100%
C,3.5,29.1,Anze Kopitar,100%
G,3.5,30.3,John Gibson,100%
RW,3.6,31.0,Nikita Kucherov,100%
C,3.7,32.9,Nicklas Backstrom,100%
G,4.0,33.7,Henrik Lundqvist,100%
G,4.0,34.6,Pekka Rinne,100%
RW,3.9,35.0,Phil Kessel,100%
C,4.3,37.1,Patrice Bergeron,100%
D,4.3,37.2,Dustin Byfuglien,100%
RW,4.2,37.9,James Neal,100%
D,4.3,37.9,Kris Letang,100%
RW,4.4,38.6,Blake Wheeler,100%
C,4.6,41.6,Jack Eichel,100%
G,4.6,41.7,Jake Allen,100%
D,4.8,43.6,Drew Doughty,100%
C,4.8,44.9,Joe Thornton,100%
D,5.0,45.1,Oliver Ekman-Larsson,100%
LW,5.1,45.2,Max Pacioretty,100%
RW,5.0,45.4,Wayne Simmonds,100%
LW,5.3,47.0,Taylor Hall,100%
LW,5.5,48.3,Filip Forsberg,100%
"C,RW",5.8,52.7,Nathan MacKinnon,100%
D,5.8,53.7,Shayne Gostisbehere,100%
C,5.8,54.1,Aleksander Barkov,100%
D,6.1,56.6,John Carlson,100%
LW,6.1,57.1,Brad Marchand,100%
D,6.2,57.4,Roman Josi,100%
D,6.4,58.4,Shea Weber,100%
C,6.3,58.5,Jonathan Toews,100%
D,6.5,59.2,John Klingberg,100%
C,6.3,59.6,Sean Monahan,100%
G,6.4,59.7,Tuukka Rask,100%
C,6.3,59.8,Ryan Getzlaf,100%
LW,6.5,60.5,Zach Parise,100%
D,6.7,61.6,Duncan Keith,100%
C,6.6,62.5,Mark Scheifele,100%
G,6.8,63.6,Roberto Luongo,100%
G,7.0,66.8,Devan Dubnyk,100%
LW,7.3,69.1,Gabriel Landeskog,100%
G,7.4,69.8,Matt Murray,100%
LW,7.4,70.3,Daniel Sedin,100%
G,7.4,70.8,Brian Elliott,100%
D,7.5,70.9,Mark Giordano,100%
D,7.7,72.1,Victor Hedman,100%
C,7.8,75.2,Ryan Johansen,100%
D,8.2,77.3,Torey Krug,100%
LW,8.2,78.0,Alexander Steen,100%
C,8.0,79.3,Jason Spezza,100%
D,8.4,79.4,Aaron Ekblad,100%
D,8.3,79.6,Keith Yandle,100%
"LW,RW",8.5,80.0,Patrick Sharp,100%
"LW,RW",8.5,80.5,Brandon Saad,100%
G,8.6,82.0,Petr Mrazek,100%
D,8.5,82.6,Justin Faulk,100%
LW,8.8,84.1,Jonathan Huberdeau,100%
LW,8.7,84.8,Andrew Ladd,100%
"C,RW",9.1,86.7,Tyler Toffoli,100%
"LW,RW",9.1,86.7,Jakub Voracek,100%
C,7.9,88.9,Dominic Moore,7%
RW,9.3,89.5,Jordan Eberle,100%
"C,LW",9.3,90.3,Brayden Schenn,100%
G,9.2,90.6,Frederik Andersen,100%
RW,9.5,90.6,T.J. Oshie,100%
D,9.5,91.1,Tyson Barrie,100%
"C,LW",9.5,91.4,Ryan O'Reilly,100%
"C,RW",9.6,91.8,Dylan Larkin,100%
LW,9.5,92.8,Milan Lucic,100%
RW,9.7,93.3,Kyle Okposo,100%
D,9.9,94.1,Kevin Shattenkirk,100%
LW,9.7,94.3,Max Domi,100%
G,9.7,95.3,Craig Anderson,100%
G,10.3,99.3,Marc-Andre Fleury,100%
D,10.5,99.9,Rasmus Ristolainen,100%
C,10.1,100.5,Matt Duchene,100%
D,10.7,103.3,Jake Muzzin,100%
D,10.8,103.7,Brent Seabrook,100%
D,11.0,105.1,Ryan Suter,100%
RW,11.0,106.4,Mark Stone,100%
RW,11.0,106.8,Kyle Palmieri,100%
D,11.0,106.8,Dougie Hamilton,100%
LW,10.9,106.9,Rick Nash,100%
RW,11.7,113.7,Patric Hornqvist,100%
RW,11.6,113.9,Jaromir Jagr,100%
D,11.9,114.9,Sami Vatanen,100%
RW,11.7,115.1,Alexander Radulov,100%
D,12.0,115.2,Alex Pietrangelo,100%
D,12.0,116.5,Marc-Edouard Vlasic,100%
G,12.0,117.8,Thomas Greiss,100%
"C,LW",12.0,120.3,Boone Jenner,100%
D,12.7,122.2,Ryan McDonagh,100%
LW,11.7,122.6,Jimmy Vesey,17%
LW,12.3,123.4,James van Riemsdyk,100%
D,12.9,123.5,Alec Martinez,100%
LW,12.5,125.6,Jussi Jokinen,100%
D,12.9,125.8,Colton Parayko,100%
D,13.0,126.1,Seth Jones,100%
C,12.8,126.4,Auston Matthews,98%
RW,13.0,128.0,Bobby Ryan,100%
G,13.1,130.9,Robin Lehner,100%
LW,13.1,131.0,Loui Eriksson,100%
D,13.5,131.0,Hampus Lindholm,100%
C,13.1,131.9,Ryan Kesler,100%
G,13.3,133.0,Jaroslav Halak,100%
C,13.3,133.2,Jeff Carter,100%
C,13.4,133.3,Alex Galchenyuk,100%
D,13.7,133.9,Matt Dumba,100%
D,13.9,135.2,Anton Stralman,100%
LW,13.6,135.5,Jonathan Drouin,100%
D,14.0,137.2,Matt Niskanen,100%
G,13.8,137.5,Semyon Varlamov,100%
D,14.2,139.3,T.J. Brodie,99%
G,14.0,140.0,Sergei Bobrovsky,100%
D,14.4,140.8,Michael Stone,98%
LW,14.4,140.9,Mike Hoffman,100%
RW,14.4,142.5,Patrik Laine,100%
RW,14.3,142.7,Justin Williams,100%
D,14.6,143.0,Cam Fowler,98%
C,13.8,143.2,Andrew Shaw,3%
LW,14.7,145.3,Jaden Schwartz,100%
D,14.8,145.6,Olli Maatta,97%
D,12.6,145.7,Ben Chiarot,4%
C,14.7,146.0,Tyler Johnson,98%
"C,LW",14.8,146.0,Henrik Zetterberg,100%
RW,14.7,146.7,Marian Hossa,100%
C,14.8,147.4,David Krejci,99%
D,15.0,147.7,Nick Leddy,98%
C,15.1,150.0,Adam Henrique,97%
D,13.8,150.9,Johnny Oduya,4%
C,15.3,151.3,Henrik Sedin,90%
RW,15.3,151.5,Brendan Gallagher,100%
D,15.4,151.6,Zdeno Chara,79%
LW,15.0,151.9,Jeff Skinner,100%
"C,LW",13.3,151.9,Tyler Ennis,3%
RW,15.5,152.0,Mats Zuccarello,100%
